
 customer no 421  and interarrival :1.713 minutes


 customer no 423  and interarrival :0.863 minutes


 customer no 424  and interarrival :0.174 minutes


 customer no 425  and interarrival :0.641 minutes


 customer no 426  and interarrival :0.921 minutes


 customer no 427  and interarrival :1.155 minutes


 customer no 428  and interarrival :0.801 minutes


 customer no 429  and interarrival :1.194 minutes


 customer no 430  and interarrival :0.462 minutes


 customer no 431  and interarrival :0.156 minutes


 customer no 432  and interarrival :1.208 minutes


 customer no 433  and interarrival :0.069 minutes


 customer no 433  and interarrival :0.264 minutes


 customer no 433  and interarrival :0.597 minutes


 customer no 434  and interarrival :0.804 minutes


 customer no 437  and interarrival :2.019 minutes


 customer no 438  and interarrival :2.260 minutes


 customer no 439  and interarrival :0.395 minutes


 customer no 440  and interarrival :0.044 minutes


 customer no 441  and interarrival :0.400 minutes


 customer no 442  and interarrival :0.192 minutes


 customer no 443  and interarrival :0.086 minutes


 customer no 443  and interarrival :0.637 minutes


 customer no 443  and interarrival :2.250 minutes


 customer no 446  and interarrival :0.250 minutes


 customer no 447  and interarrival :1.879 minutes


 customer no 448  and interarrival :0.317 minutes


 customer no 449  and interarrival :0.137 minutes


 customer no 449  and interarrival :1.618 minutes


 customer no 451  and interarrival :0.467 minutes


 customer no 451  and interarrival :1.615 minutes


 customer no 453  and interarrival :0.005 minutes


 customer no 453  and interarrival :0.100 minutes


 customer no 453  and interarrival :2.493 minutes


 customer no 454  and interarrival :0.746 minutes


 customer no 455  and interarrival :2.204 minutes


 customer no 458  and interarrival :0.024 minutes


 customer no 459  and interarrival :0.723 minutes


 customer no 460  and interarrival :3.894 minutes


 customer no 461  and interarrival :1.034 minutes


 customer no 462  and interarrival :0.010 minutes


 customer no 463  and interarrival :0.594 minutes


 customer no 464  and interarrival :0.117 minutes


 customer no 464  and interarrival :1.717 minutes


 customer no 466  and interarrival :2.000 minutes


 customer no 467  and interarrival :0.618 minutes


 customer no 468  and interarrival :2.216 minutes


