
 customer no 303  and interarrival :0.005 minutes


 customer no 303  and interarrival :2.022 minutes


 customer no 306  and interarrival :0.534 minutes


 customer no 307  and interarrival :0.826 minutes


 customer no 308  and interarrival :1.262 minutes


 customer no 309  and interarrival :0.580 minutes


 customer no 310  and interarrival :1.165 minutes


 customer no 311  and interarrival :1.505 minutes


 customer no 312  and interarrival :0.449 minutes


 customer no 313  and interarrival :0.372 minutes


 customer no 314  and interarrival :1.575 minutes


 customer no 315  and interarrival :0.418 minutes


 customer no 316  and interarrival :0.419 minutes


 customer no 316  and interarrival :0.904 minutes


 customer no 318  and interarrival :0.015 minutes


 customer no 319  and interarrival :0.719 minutes


 customer no 320  and interarrival :4.300 minutes


 customer no 321  and interarrival :0.294 minutes


 customer no 322  and interarrival :0.302 minutes


 customer no 323  and interarrival :2.470 minutes


 customer no 324  and interarrival :0.859 minutes


 customer no 325  and interarrival :0.284 minutes


 customer no 326  and interarrival :0.180 minutes


 customer no 327  and interarrival :0.130 minutes


 customer no 328  and interarrival :1.716 minutes


 customer no 329  and interarrival :0.756 minutes


 customer no 330  and interarrival :2.732 minutes


 customer no 331  and interarrival :2.102 minutes


 customer no 332  and interarrival :1.113 minutes


 customer no 333  and interarrival :0.212 minutes


 customer no 334  and interarrival :0.423 minutes


 customer no 335  and interarrival :0.079 minutes


 customer no 336  and interarrival :0.337 minutes


 customer no 337  and interarrival :0.285 minutes


 customer no 338  and interarrival :0.042 minutes


 customer no 338  and interarrival :0.731 minutes


 customer no 340  and interarrival :1.087 minutes


 customer no 341  and interarrival :0.402 minutes


 customer no 342  and interarrival :0.098 minutes


 customer no 342  and interarrival :1.580 minutes


 customer no 344  and interarrival :0.305 minutes


 customer no 345  and interarrival :1.055 minutes


 customer no 346  and interarrival :0.572 minutes


 customer no 347  and interarrival :0.352 minutes


 customer no 348  and interarrival :1.026 minutes


 customer no 349  and interarrival :5.808 minutes


 customer no 350  and interarrival :1.038 minutes


 customer no 351  and interarrival :1.519 minutes


 customer no 352  and interarrival :2.292 minutes


 customer no 353  and interarrival :0.251 minutes


 customer no 354  and interarrival :0.221 minutes


 customer no 355  and interarrival :0.527 minutes


 customer no 356  and interarrival :0.654 minutes


 customer no 357  and interarrival :0.654 minutes


 customer no 358  and interarrival :0.146 minutes


 customer no 358  and interarrival :0.328 minutes


 customer no 359  and interarrival :0.185 minutes


 customer no 360  and interarrival :1.091 minutes


 customer no 362  and interarrival :1.653 minutes


 customer no 363  and interarrival :0.427 minutes


 customer no 364  and interarrival :0.707 minutes


 customer no 365  and interarrival :0.320 minutes


 customer no 366  and interarrival :0.119 minutes


 customer no 367  and interarrival :0.761 minutes


 customer no 368  and interarrival :1.966 minutes


 customer no 369  and interarrival :1.425 minutes


 customer no 370  and interarrival :0.486 minutes


 customer no 371  and interarrival :0.772 minutes


 customer no 372  and interarrival :0.986 minutes


 customer no 373  and interarrival :2.998 minutes


 customer no 374  and interarrival :2.158 minutes


 customer no 375  and interarrival :0.309 minutes


 customer no 376  and interarrival :2.635 minutes


 customer no 377  and interarrival :0.181 minutes


 customer no 378  and interarrival :0.713 minutes


 customer no 379  and interarrival :0.983 minutes


 customer no 380  and interarrival :0.505 minutes


 customer no 380  and interarrival :0.012 minutes


 customer no 380  and interarrival :0.197 minutes


 customer no 380  and interarrival :0.218 minutes


 customer no 380  and interarrival :0.213 minutes


 customer no 381  and interarrival :1.158 minutes


 customer no 384  and interarrival :0.023 minutes


 customer no 384  and interarrival :0.278 minutes


 customer no 386  and interarrival :0.219 minutes


 customer no 387  and interarrival :0.782 minutes


 customer no 387  and interarrival :0.085 minutes


 customer no 387  and interarrival :0.471 minutes


 customer no 387  and interarrival :0.580 minutes


 customer no 387  and interarrival :1.195 minutes


 customer no 390  and interarrival :0.243 minutes


 customer no 390  and interarrival :0.894 minutes


 customer no 392  and interarrival :3.353 minutes


 customer no 397  and interarrival :0.676 minutes


 customer no 398  and interarrival :1.620 minutes


 customer no 399  and interarrival :2.662 minutes


 customer no 400  and interarrival :0.836 minutes


 customer no 401  and interarrival :0.267 minutes


 customer no 402  and interarrival :0.192 minutes


 customer no 402  and interarrival :0.004 minutes


 customer no 402  and interarrival :0.043 minutes


 customer no 402  and interarrival :0.518 minutes


 customer no 405  and interarrival :2.135 minutes


 customer no 407  and interarrival :1.713 minutes


 customer no 408  and interarrival :0.260 minutes


 customer no 409  and interarrival :0.900 minutes


 customer no 410  and interarrival :0.426 minutes


 customer no 411  and interarrival :0.524 minutes


 customer no 411  and interarrival :0.403 minutes


 customer no 411  and interarrival :0.937 minutes


 customer no 413  and interarrival :2.471 minutes


 customer no 415  and interarrival :2.598 minutes


 customer no 416  and interarrival :1.067 minutes


 customer no 417  and interarrival :2.400 minutes


 customer no 418  and interarrival :1.398 minutes


 customer no 419  and interarrival :1.294 minutes


 customer no 420  and interarrival :0.450 minutes


 customer no 420  and interarrival :2.951 minutes


 customer no 422  and interarrival :0.076 minutes


 customer no 423  and interarrival :0.629 minutes


 customer no 424  and interarrival :1.872 minutes


 customer no 425  and interarrival :0.039 minutes


 customer no 426  and interarrival :0.104 minutes


 customer no 427  and interarrival :0.445 minutes


 customer no 428  and interarrival :0.496 minutes


 customer no 429  and interarrival :0.816 minutes


 customer no 430  and interarrival :0.168 minutes


 customer no 431  and interarrival :1.166 minutes


 customer no 432  and interarrival :1.043 minutes


 customer no 433  and interarrival :1.776 minutes


 customer no 434  and interarrival :0.453 minutes


 customer no 435  and interarrival :0.636 minutes


 customer no 436  and interarrival :0.807 minutes


 customer no 437  and interarrival :1.213 minutes


 customer no 438  and interarrival :0.278 minutes


 customer no 439  and interarrival :1.892 minutes


 customer no 440  and interarrival :0.303 minutes


 customer no 441  and interarrival :4.119 minutes


 customer no 442  and interarrival :0.242 minutes


 customer no 443  and interarrival :0.870 minutes


 customer no 444  and interarrival :0.116 minutes


 customer no 444  and interarrival :1.195 minutes


 customer no 446  and interarrival :0.687 minutes


 customer no 447  and interarrival :1.298 minutes


 customer no 448  and interarrival :0.591 minutes


 customer no 449  and interarrival :1.520 minutes


 customer no 450  and interarrival :0.673 minutes


 customer no 451  and interarrival :0.497 minutes


 customer no 452  and interarrival :1.775 minutes


 customer no 453  and interarrival :0.011 minutes


 customer no 454  and interarrival :0.957 minutes


 customer no 455  and interarrival :0.140 minutes


 customer no 456  and interarrival :2.507 minutes


 customer no 457  and interarrival :0.249 minutes


 customer no 458  and interarrival :0.305 minutes


 customer no 458  and interarrival :0.810 minutes


 customer no 460  and interarrival :0.069 minutes


 customer no 460  and interarrival :0.309 minutes


 customer no 461  and interarrival :0.300 minutes


 customer no 463  and interarrival :2.622 minutes


 customer no 464  and interarrival :0.607 minutes


 customer no 465  and interarrival :0.023 minutes


 customer no 466  and interarrival :3.838 minutes


 customer no 467  and interarrival :0.847 minutes


 customer no 468  and interarrival :0.303 minutes


 customer no 469  and interarrival :1.410 minutes


 customer no 470  and interarrival :0.254 minutes


 customer no 471  and interarrival :0.081 minutes


 customer no 471  and interarrival :0.585 minutes


 customer no 471  and interarrival :0.215 minutes


 customer no 471  and interarrival :0.705 minutes


 customer no 473  and interarrival :0.176 minutes


 customer no 473  and interarrival :0.784 minutes


 customer no 475  and interarrival :0.527 minutes


 customer no 478  and interarrival :0.131 minutes


 customer no 479  and interarrival :0.210 minutes


 customer no 480  and interarrival :0.997 minutes


 customer no 481  and interarrival :0.743 minutes


 customer no 482  and interarrival :0.225 minutes


 customer no 482  and interarrival :0.235 minutes


 customer no 482  and interarrival :2.125 minutes


 customer no 484  and interarrival :0.462 minutes


 customer no 484  and interarrival :0.122 minutes


 customer no 484  and interarrival :0.340 minutes


 customer no 484  and interarrival :1.045 minutes


 customer no 487  and interarrival :1.749 minutes


 customer no 490  and interarrival :1.236 minutes


 customer no 491  and interarrival :0.532 minutes


 customer no 492  and interarrival :1.389 minutes


 customer no 493  and interarrival :1.603 minutes


 customer no 494  and interarrival :0.417 minutes


 customer no 495  and interarrival :1.667 minutes


 customer no 496  and interarrival :0.348 minutes


 customer no 497  and interarrival :2.874 minutes


 customer no 498  and interarrival :3.041 minutes


 customer no 499  and interarrival :0.807 minutes


 customer no 500  and interarrival :0.177 minutes


 customer no 501  and interarrival :0.067 minutes


 customer no 501  and interarrival :0.018 minutes


 customer no 502  and interarrival :0.197 minutes


 customer no 503  and interarrival :0.299 minutes


 customer no 503  and interarrival :0.111 minutes


 customer no 503  and interarrival :1.039 minutes


 customer no 505  and interarrival :1.950 minutes


 customer no 508  and interarrival :0.770 minutes


 customer no 509  and interarrival :1.240 minutes


 customer no 510  and interarrival :0.090 minutes


 customer no 511  and interarrival :0.987 minutes


 customer no 512  and interarrival :1.150 minutes


 customer no 513  and interarrival :0.439 minutes


 customer no 514  and interarrival :0.102 minutes


 customer no 514  and interarrival :0.908 minutes


 customer no 516  and interarrival :1.649 minutes


 customer no 517  and interarrival :0.355 minutes


 customer no 518  and interarrival :0.367 minutes


 customer no 518  and interarrival :2.377 minutes


 customer no 520  and interarrival :1.605 minutes


 customer no 521  and interarrival :0.376 minutes


 customer no 522  and interarrival :1.341 minutes


 customer no 523  and interarrival :0.421 minutes


 customer no 524  and interarrival :0.189 minutes


 customer no 524  and interarrival :3.168 minutes


 customer no 526  and interarrival :1.274 minutes


 customer no 527  and interarrival :2.228 minutes


 customer no 528  and interarrival :0.310 minutes


